발생일자,시설명,시설관리번호,압력,단위,자료 수집 TAG 설명,TAGSN,변경일자
2020021203,일산정수장,4128112315,1520,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021203,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021203,일산정수장,4128112315,4530,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021203,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021202,일산정수장,4128112315,1240,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021202,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021202,일산정수장,4128112315,4500,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021202,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021201,일산정수장,4128112315,1260,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021201,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021201,일산정수장,4128112315,4450,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021201,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021124,일산정수장,4128112315,1250,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021124,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021124,일산정수장,4128112315,4380,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021124,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021123,일산정수장,4128112315,1160,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021123,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021123,일산정수장,4128112315,3890,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
2020021123,일산정수장,4128112315,1403,㎥/h,일산(정) 일산계통송수유량순시,5201,
2020021122,일산정수장,4128112315,1170,㎥,고양 일산(정) 능곡 계통 송수 유량 적산차,13823,
2020021122,일산정수장,4128112315,-48,㎥/h,일산(정) 능곡계통송수유량순시,5202,
2020021122,일산정수장,4128112315,4640,㎥,고양 일산(정) 일산 계통 송수 유량 적산차,13828,
