지방청,표지,일시,풍향,유향,파향,기온,수온,시정,풍속,유속,파고,기압,습도,염분
부산청,부산항신항다목적부두,2019-03-01 00:03,,,,,,7.8,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 00:03,,,,,,6.5,,,,,,
부산청,오륙도등대,2019-03-01 00:04,353.0,,,10.5,,,0.4,,,1012.6,64.0,
부산청,가덕도등대,2019-03-01 00:04,42.0,,,9.2,,,4.8,,,1007.1,59.0,
부산청,송정리등표,2019-03-01 00:04,0.0,,,8.9,,,3.3,,,1017.1,66.0,
부산청,부산항신항중앙C호등부표,2019-03-01 00:04,327.0,,,9.9,11.7,,1.9,,,1017.8,75.0,20.0
부산청,감천항유도등부표(랜비),2019-03-01 00:05,160.0,,,10.1,14.1,,3.1,,,1017.5,59.0,19.0
부산청,감천항유도등부표(랜비),2019-03-01 00:08,164.0,,,10.2,14.1,,2.7,,,1017.5,60.0,19.0
부산청,남항동방파제등대,2019-03-01 00:08,24.0,,,10.3,,,2.0,,,1016.6,64.0,
부산청,부산항유도등부표(랜비),2019-03-01 00:08,173.0,,,10.5,14.4,,45.0,,,1017.6,66.0,18.0
부산청,부산항신항다목적부두,2019-03-01 00:09,,,,,,7.4,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 00:09,,,,,,7.4,,,,,,
부산청,가덕도등대,2019-03-01 00:13,44.0,,,9.2,,,5.19,,,1007.1,59.0,
부산청,송정리등표,2019-03-01 00:13,6.0,,,8.7,,,3.3,,,1016.9,66.0,
부산청,오륙도등대,2019-03-01 00:13,31.0,,,10.3,,,0.4,,,1012.4,65.0,
부산청,부산항신항중앙C호등부표,2019-03-01 00:13,317.0,,,9.9,11.7,,2.2,,,1017.7,74.0,19.0
부산청,감천항유도등부표(랜비),2019-03-01 00:14,164.0,,,10.0,14.1,,2.5,,,1017.5,59.0,19.0
부산청,남항동방파제등대,2019-03-01 00:14,6.0,,,9.6,,,2.0,,,1016.7,63.0,
부산청,부산항유도등부표(랜비),2019-03-01 00:14,182.0,,,10.2,14.4,,28.0,,,1017.5,66.0,18.0
부산청,부산항신항다목적부두,2019-03-01 00:18,,,,,,7.4,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 00:18,,,,,,7.0,,,,,,
부산청,송정리등표,2019-03-01 00:19,3.0,,,9.5,,,3.2,,,1017.1,66.0,
부산청,오륙도등대,2019-03-01 00:19,174.0,,,10.3,,,0.4,,,1012.6,64.0,
부산청,부산항신항중앙C호등부표,2019-03-01 00:19,350.0,,,9.0,11.7,,2.5,,,1017.6,73.0,19.0
부산청,가덕도등대,2019-03-01 00:19,42.0,,,9.9,,,5.81,,,1007.0,60.0,
부산청,감천항유도등부표(랜비),2019-03-01 00:20,174.0,,,10.0,14.1,,2.6,,,1017.6,60.0,19.0
부산청,남항동방파제등대,2019-03-01 00:23,11.0,,,9.7,,,2.7,,,1016.8,63.0,
부산청,감천항유도등부표(랜비),2019-03-01 00:23,164.0,,,10.4,14.1,,2.4,,,1017.6,60.0,19.0
부산청,부산항유도등부표(랜비),2019-03-01 00:23,137.0,,,9.4,14.4,,45.0,,,1017.7,65.0,18.0
부산청,부산항신항다목적부두,2019-03-01 00:24,,,,,,8.9,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 00:24,,,,,,6.7,,,,,,
부산청,송정리등표,2019-03-01 00:28,0.0,,,9.4,,,2.9,,,1017.2,67.0,
부산청,오륙도등대,2019-03-01 00:28,57.0,,,10.3,,,1.1,,,1012.6,64.0,
부산청,부산항신항중앙C호등부표,2019-03-01 00:28,326.0,,,8.9,11.7,,2.6,,,1017.6,73.0,18.0
부산청,가덕도등대,2019-03-01 00:28,41.0,,,9.2,,,5.5,,,1007.0,59.0,
부산청,부산항유도등부표(랜비),2019-03-01 00:29,146.0,,,10.4,14.5,,40.0,,,966.7,68.0,18.0
부산청,감천항유도등부표(랜비),2019-03-01 00:29,169.0,,,9.9,14.1,,2.9,,,1017.5,59.0,19.0
부산청,남항동방파제등대,2019-03-01 00:29,16.0,,,9.6,,,2.3,,,1016.7,63.0,
부산청,부산항신항다목적부두,2019-03-01 00:33,,,,,,7.4,,,,,,
부산청,부산항신항소형선부두등대,2019-03-01 00:33,,,,,,7.6,,,,,,
부산청,송정리등표,2019-03-01 00:34,5.0,,,9.5,,,3.0,,,1017.0,69.0,
부산청,오륙도등대,2019-03-01 00:34,38.0,,,10.3,,,2.3,,,1012.5,65.0,
부산청,부산항신항중앙C호등부표,2019-03-01 00:34,304.0,,,9.6,11.7,,2.2,,,1017.6,74.0,18.0
부산청,가덕도등대,2019-03-01 00:34,42.0,,,9.9,,,5.6,,,1007.1,60.0,
부산청,감천항유도등부표(랜비),2019-03-01 00:35,160.0,,,9.9,14.1,,2.7,,,1017.5,60.0,20.0
